area_fips,industry_code,year,qtr,area_title,industry_title,qtrly_estabs_count,month1_emplvl,month2_emplvl,month3_emplvl,total_qtrly_wages,avg_wkly_wage
1015,10,2015,1,"Calhoun County, Alabama","Total, all industries",2320,31593,31814,31997,254754987,616
1015,10,2015,2,"Calhoun County, Alabama","Total, all industries",2315,32074,32165,32137,261732444,627
1015,10,2015,3,"Calhoun County, Alabama","Total, all industries",2340,31899,32062,31787,262299737,632
1015,10,2015,4,"Calhoun County, Alabama","Total, all industries",2358,31834,32066,32130,285033942,685
1017,10,2015,1,"Chambers County, Alabama","Total, all industries",504,6037,6087,6117,49929566,632
1017,10,2015,2,"Chambers County, Alabama","Total, all industries",510,6141,6202,6236,51559289,640
1017,10,2015,3,"Chambers County, Alabama","Total, all industries",511,6230,6228,6196,52395072,648
1017,10,2015,4,"Chambers County, Alabama","Total, all industries",517,6257,6279,6281,59053523,724
1019,10,2015,1,"Cherokee County, Alabama","Total, all industries",368,3762,3799,3836,29470407,597
1019,10,2015,2,"Cherokee County, Alabama","Total, all industries",367,3858,3883,3830,29945028,597
1019,10,2015,3,"Cherokee County, Alabama","Total, all industries",370,3780,3741,3761,31703742,648
1019,10,2015,4,"Cherokee County, Alabama","Total, all industries",375,3721,3717,3787,32852849,675
1021,10,2015,1,"Chilton County, Alabama","Total, all industries",693,7308,7334,7367,59352687,622
1021,10,2015,2,"Chilton County, Alabama","Total, all industries",700,7570,7573,7551,62394448,634
1021,10,2015,3,"Chilton County, Alabama","Total, all industries",702,7516,7534,7535,64039325,654
1021,10,2015,4,"Chilton County, Alabama","Total, all industries",718,7457,7437,7392,70099279,726
1023,10,2015,1,"Choctaw County, Alabama","Total, all industries",237,2845,2809,2872,35070754,949
1023,10,2015,2,"Choctaw County, Alabama","Total, all industries",242,2874,2843,2918,35902839,959
1023,10,2015,3,"Choctaw County, Alabama","Total, all industries",243,2819,2839,2896,33015271,891
1023,10,2015,4,"Choctaw County, Alabama","Total, all industries",247,2933,2928,2976,39238337,1025
1025,10,2015,1,"Clarke County, Alabama","Total, all industries",592,6410,6432,6634,58129464,689
1025,10,2015,2,"Clarke County, Alabama","Total, all industries",590,6374,6333,6298,57832284,702
1025,10,2015,3,"Clarke County, Alabama","Total, all industries",588,6317,6387,6388,59342643,717
1025,10,2015,4,"Clarke County, Alabama","Total, all industries",593,6355,6388,6381,66224336,799
1027,10,2015,1,"Clay County, Alabama","Total, all industries",172,2921,2934,2923,22332157,587
1027,10,2015,2,"Clay County, Alabama","Total, all industries",172,2918,2874,2892,21885605,582
1027,10,2015,3,"Clay County, Alabama","Total, all industries",177,2853,2907,2912,22843536,608
1027,10,2015,4,"Clay County, Alabama","Total, all industries",178,2903,2904,2939,25367775,669
1029,10,2015,1,"Cleburne County, Alabama","Total, all industries",156,1420,1434,1418,14729566,796
1029,10,2015,2,"Cleburne County, Alabama","Total, all industries",155,1406,1427,1393,16281894,889
1029,10,2015,3,"Cleburne County, Alabama","Total, all industries",154,1486,1383,1410,16997794,917
1029,10,2015,4,"Cleburne County, Alabama","Total, all industries",158,1370,1335,1601,19063498,1022
1031,10,2015,1,"Coffee County, Alabama","Total, all industries",963,12546,12565,12636,94372570,577
1031,10,2015,2,"Coffee County, Alabama","Total, all industries",969,12736,12837,12841,97686879,587
1031,10,2015,3,"Coffee County, Alabama","Total, all industries",970,12768,12828,12871,99570529,597
1031,10,2015,4,"Coffee County, Alabama","Total, all industries",986,12724,12691,12720,109409389,662
1033,10,2015,1,"Colbert County, Alabama","Total, all industries",1206,18494,18604,18876,187172681,772
1033,10,2015,2,"Colbert County, Alabama","Total, all industries",1215,18997,19043,19047,185202901,749
1033,10,2015,3,"Colbert County, Alabama","Total, all industries",1204,18814,19259,19201,192575524,776
1033,10,2015,4,"Colbert County, Alabama","Total, all industries",1224,19246,19293,19431,208379055,830
1035,10,2015,1,"Conecuh County, Alabama","Total, all industries",217,2786,2776,2842,21258083,584
1035,10,2015,2,"Conecuh County, Alabama","Total, all industries",218,2826,2856,2835,22996420,623
1035,10,2015,3,"Conecuh County, Alabama","Total, all industries",218,2842,2845,2836,23089455,625
1035,10,2015,4,"Conecuh County, Alabama","Total, all industries",218,2788,2795,2839,25023220,686
1037,10,2015,1,"Coosa County, Alabama","Total, all industries",86,907,905,921,7957595,672
1037,10,2015,2,"Coosa County, Alabama","Total, all industries",88,926,931,924,7952364,660
1037,10,2015,3,"Coosa County, Alabama","Total, all industries",92,944,953,950,8534540,692
1037,10,2015,4,"Coosa County, Alabama","Total, all industries",90,924,935,949,10943755,899
1039,10,2015,1,"Covington County, Alabama","Total, all industries",822,10001,10019,10011,77801295,598
1039,10,2015,2,"Covington County, Alabama","Total, all industries",821,10080,10135,10183,82175900,624
1039,10,2015,3,"Covington County, Alabama","Total, all industries",816,10295,10223,10201,82583410,620
1039,10,2015,4,"Covington County, Alabama","Total, all industries",827,10160,10205,10144,91806937,694
1041,10,2015,1,"Crenshaw County, Alabama","Total, all industries",209,3113,3135,3173,25531029,625
1041,10,2015,2,"Crenshaw County, Alabama","Total, all industries",214,3129,3198,3188,28699684,696
1041,10,2015,3,"Crenshaw County, Alabama","Total, all industries",214,3144,3187,3141,26377038,643
1041,10,2015,4,"Crenshaw County, Alabama","Total, all industries",216,3231,3171,3122,32486330,787
1043,10,2015,1,"Cullman County, Alabama","Total, all industries",1678,22592,22633,22792,199722389,678
1043,10,2015,2,"Cullman County, Alabama","Total, all industries",1689,23085,23216,23301,205964771,683
1043,10,2015,3,"Cullman County, Alabama","Total, all industries",1696,23399,23530,23791,213774215,698
1043,10,2015,4,"Cullman County, Alabama","Total, all industries",1733,24083,24288,24394,246843803,783
1045,10,2015,1,"Dale County, Alabama","Total, all industries",750,11162,11142,11219,132742660,914
1045,10,2015,2,"Dale County, Alabama","Total, all industries",757,11247,11291,11280,144007304,983
1045,10,2015,3,"Dale County, Alabama","Total, all industries",769,11443,11512,11476,136390065,914
1045,10,2015,4,"Dale County, Alabama","Total, all industries",772,11528,11606,11694,158743529,1052
1047,10,2015,1,"Dallas County, Alabama","Total, all industries",741,9973,10133,10176,87172421,664
1047,10,2015,2,"Dallas County, Alabama","Total, all industries",739,10186,10028,9878,87447242,671
1047,10,2015,3,"Dallas County, Alabama","Total, all industries",741,9779,9773,9930,84545041,662
1047,10,2015,4,"Dallas County, Alabama","Total, all industries",753,10154,10279,10249,98031776,737
1049,10,2015,1,"DeKalb County, Alabama","Total, all industries",1035,17299,17463,17542,135158839,596
1049,10,2015,2,"DeKalb County, Alabama","Total, all industries",1039,17581,17666,17806,146208466,636
1049,10,2015,3,"DeKalb County, Alabama","Total, all industries",1038,17827,17547,17591,149673802,652
1049,10,2015,4,"DeKalb County, Alabama","Total, all industries",1051,17601,17527,17573,164354186,720
1051,10,2015,1,"Elmore County, Alabama","Total, all industries",1203,14283,14429,14542,113153238,604
1051,10,2015,2,"Elmore County, Alabama","Total, all industries",1219,14675,14895,14858,116639569,606
1051,10,2015,3,"Elmore County, Alabama","Total, all industries",1222,14856,14915,14644,118230516,614
1051,10,2015,4,"Elmore County, Alabama","Total, all industries",1247,14637,14761,14776,129019067,674
1053,10,2015,1,"Escambia County, Alabama","Total, all industries",736,8548,8508,8565,78448613,707
1053,10,2015,2,"Escambia County, Alabama","Total, all industries",744,8630,8599,8554,76942479,689
1053,10,2015,3,"Escambia County, Alabama","Total, all industries",756,8762,8784,8825,79842948,699
1053,10,2015,4,"Escambia County, Alabama","Total, all industries",765,8825,8860,8824,88899027,774
1055,10,2015,1,"Etowah County, Alabama","Total, all industries",1908,29598,29511,29775,249608227,648
1055,10,2015,2,"Etowah County, Alabama","Total, all industries",1911,30138,30440,30406,258738846,656
1055,10,2015,3,"Etowah County, Alabama","Total, all industries",1922,30487,30532,30709,263275509,662
1055,10,2015,4,"Etowah County, Alabama","Total, all industries",1929,30439,30669,30985,284267449,712
1057,10,2015,1,"Fayette County, Alabama","Total, all industries",290,2707,2742,2737,20991268,592
1057,10,2015,2,"Fayette County, Alabama","Total, all industries",295,2626,2656,2647,20675350,602
1057,10,2015,3,"Fayette County, Alabama","Total, all industries",295,2700,2710,2734,21465909,608
1057,10,2015,4,"Fayette County, Alabama","Total, all industries",300,2706,2723,2761,23496537,662
1059,10,2015,1,"Franklin County, Alabama","Total, all industries",510,7994,8067,8154,63894948,609
1059,10,2015,2,"Franklin County, Alabama","Total, all industries",514,8260,8404,8452,66665507,613
1059,10,2015,3,"Franklin County, Alabama","Total, all industries",511,8503,8546,8491,68100993,615
1059,10,2015,4,"Franklin County, Alabama","Total, all industries",519,8570,8601,8595,76141321,682
1061,10,2015,1,"Geneva County, Alabama","Total, all industries",426,3408,3382,3457,25736644,580
1061,10,2015,2,"Geneva County, Alabama","Total, all industries",425,3518,3477,3546,26006386,569
1061,10,2015,3,"Geneva County, Alabama","Total, all industries",429,3539,3492,3585,27887674,606
1061,10,2015,4,"Geneva County, Alabama","Total, all industries",433,3561,3559,3575,29932643,646
1063,10,2015,1,"Greene County, Alabama","Total, all industries",111,1053,1072,1064,7702881,557
1063,10,2015,2,"Greene County, Alabama","Total, all industries",110,1095,1122,1097,8281414,577
1063,10,2015,3,"Greene County, Alabama","Total, all industries",108,1046,1066,1106,8743623,627
1063,10,2015,4,"Greene County, Alabama","Total, all industries",112,1067,1085,1101,9492257,673
1065,10,2015,1,"Hale County, Alabama","Total, all industries",223,1867,1853,1864,15872687,656
1065,10,2015,2,"Hale County, Alabama","Total, all industries",227,1883,1900,1885,15603076,635
1065,10,2015,3,"Hale County, Alabama","Total, all industries",229,1808,1813,1861,15797119,665
1065,10,2015,4,"Hale County, Alabama","Total, all industries",237,1913,1900,1937,17760644,713
1067,10,2015,1,"Henry County, Alabama","Total, all industries",287,2682,2730,2709,23458904,667
1067,10,2015,2,"Henry County, Alabama","Total, all industries",288,2735,2712,2681,23953951,680
1067,10,2015,3,"Henry County, Alabama","Total, all industries",293,2642,2640,2600,27773895,813
1067,10,2015,4,"Henry County, Alabama","Total, all industries",295,2679,2655,2642,28229151,817
1069,10,2015,1,"Houston County, Alabama","Total, all industries",2722,37647,37856,38192,353155366,717
1069,10,2015,2,"Houston County, Alabama","Total, all industries",2743,38492,38411,38725,359015930,717
1069,10,2015,3,"Houston County, Alabama","Total, all industries",2759,38139,38177,38009,352368116,711
1069,10,2015,4,"Houston County, Alabama","Total, all industries",2805,38100,38490,38628,407893112,817
1071,10,2015,1,"Jackson County, Alabama","Total, all industries",853,12649,12727,12784,97317778,589
1071,10,2015,2,"Jackson County, Alabama","Total, all industries",853,12883,13084,13188,108042807,637
1071,10,2015,3,"Jackson County, Alabama","Total, all industries",861,13049,13099,13109,106737225,627
1071,10,2015,4,"Jackson County, Alabama","Total, all industries",880,13182,13153,13195,116170720,678
1073,10,2015,1,"Jefferson County, Alabama","Total, all industries",16900,277122,277899,278558,3895641577,1078
1073,10,2015,2,"Jefferson County, Alabama","Total, all industries",17046,280050,282027,282748,3439245215,939
1073,10,2015,3,"Jefferson County, Alabama","Total, all industries",17166,282936,282935,281916,3473102825,945
1073,10,2015,4,"Jefferson County, Alabama","Total, all industries",17475,283117,284240,284725,3879353724,1051
1075,10,2015,1,"Lamar County, Alabama","Total, all industries",228,2711,2664,2661,24114993,693
1075,10,2015,2,"Lamar County, Alabama","Total, all industries",229,2713,2747,2784,25023984,700
1075,10,2015,3,"Lamar County, Alabama","Total, all industries",230,2737,2751,2761,25214432,705
1075,10,2015,4,"Lamar County, Alabama","Total, all industries",232,2763,2786,2808,27466623,758
1077,10,2015,1,"Lauderdale County, Alabama","Total, all industries",1926,23812,23725,23824,182691895,591
1077,10,2015,2,"Lauderdale County, Alabama","Total, all industries",1940,24272,24316,24219,184231923,584
1077,10,2015,3,"Lauderdale County, Alabama","Total, all industries",1958,24120,24305,24259,191416471,608
1077,10,2015,4,"Lauderdale County, Alabama","Total, all industries",1984,24512,24935,24946,213660581,663
1079,10,2015,1,"Lawrence County, Alabama","Total, all industries",376,3180,3184,3236,25253241,607
1079,10,2015,2,"Lawrence County, Alabama","Total, all industries",376,3296,3293,3282,25590956,598
1079,10,2015,3,"Lawrence County, Alabama","Total, all industries",377,3272,3317,3363,25797358,598
1079,10,2015,4,"Lawrence County, Alabama","Total, all industries",383,3358,3393,3375,28570191,651
1081,10,2015,1,"Lee County, Alabama","Total, all industries",2722,38758,39081,39418,297541745,586
1081,10,2015,2,"Lee County, Alabama","Total, all industries",2761,39849,39797,39566,308440283,597
1081,10,2015,3,"Lee County, Alabama","Total, all industries",2800,39629,40281,40414,307779617,590
1081,10,2015,4,"Lee County, Alabama","Total, all industries",2873,40701,41272,41278,346017033,648
1083,10,2015,1,"Limestone County, Alabama","Total, all industries",1297,15737,15803,16443,154194284,742
1083,10,2015,2,"Limestone County, Alabama","Total, all industries",1299,16132,16319,16359,159632236,755
1083,10,2015,3,"Limestone County, Alabama","Total, all industries",1306,16117,16356,16339,158879181,751
1083,10,2015,4,"Limestone County, Alabama","Total, all industries",1348,16336,16339,16403,178102044,837
1085,10,2015,1,"Lowndes County, Alabama","Total, all industries",117,1721,1738,1725,19913071,886
1085,10,2015,2,"Lowndes County, Alabama","Total, all industries",121,1749,1819,1800,20989999,902
1085,10,2015,3,"Lowndes County, Alabama","Total, all industries",122,1794,1777,1800,20208143,868
1085,10,2015,4,"Lowndes County, Alabama","Total, all industries",123,1839,1835,1909,22132142,915
1087,10,2015,1,"Macon County, Alabama","Total, all industries",185,1984,2014,2022,14192860,544
1087,10,2015,2,"Macon County, Alabama","Total, all industries",189,2033,2010,2074,15482114,584
1087,10,2015,3,"Macon County, Alabama","Total, all industries",186,2033,2175,2148,14726261,535
1087,10,2015,4,"Macon County, Alabama","Total, all industries",190,2147,2139,2146,16904146,606
1089,10,2015,1,"Madison County, Alabama","Total, all industries",8670,142415,142680,142574,1817007112,980
1089,10,2015,2,"Madison County, Alabama","Total, all industries",8748,144350,145537,145670,1814815933,962
1089,10,2015,3,"Madison County, Alabama","Total, all industries",8846,146151,146670,146402,1850542784,972
1089,10,2015,4,"Madison County, Alabama","Total, all industries",9047,148084,149749,150558,2073024913,1067
1091,10,2015,1,"Marengo County, Alabama","Total, all industries",441,5330,5364,5270,53159516,768
1091,10,2015,2,"Marengo County, Alabama","Total, all industries",441,5148,5268,5368,50261489,735
1091,10,2015,3,"Marengo County, Alabama","Total, all industries",444,5408,5350,5304,50038599,719
1091,10,2015,4,"Marengo County, Alabama","Total, all industries",450,5248,5531,5628,58377158,821
1093,10,2015,1,"Marion County, Alabama","Total, all industries",548,7849,7981,7937,60254383,585
1093,10,2015,2,"Marion County, Alabama","Total, all industries",550,8040,8063,8110,63614197,606
1093,10,2015,3,"Marion County, Alabama","Total, all industries",547,8055,8117,8170,65138088,618
1093,10,2015,4,"Marion County, Alabama","Total, all industries",560,8192,8335,8388,71877454,666
1095,10,2015,1,"Marshall County, Alabama","Total, all industries",1842,27757,27932,28178,224740103,618
1095,10,2015,2,"Marshall County, Alabama","Total, all industries",1851,28680,28977,29048,227306326,605
1095,10,2015,3,"Marshall County, Alabama","Total, all industries",1854,29168,29315,29285,233645644,614
1095,10,2015,4,"Marshall County, Alabama","Total, all industries",1896,29160,29293,29410,259529749,682
1097,10,2015,1,"Mobile County, Alabama","Total, all industries",9186,140006,140934,141688,1513732354,827
1097,10,2015,2,"Mobile County, Alabama","Total, all industries",9267,142983,143233,142848,1532926744,824
1097,10,2015,3,"Mobile County, Alabama","Total, all industries",9361,142854,143309,142923,1523174377,819
1097,10,2015,4,"Mobile County, Alabama","Total, all industries",9575,143208,144340,145062,1778054658,948
1099,10,2015,1,"Monroe County, Alabama","Total, all industries",378,4704,4705,4695,47441475,776
1099,10,2015,2,"Monroe County, Alabama","Total, all industries",380,4731,4718,4687,48013006,784
1099,10,2015,3,"Monroe County, Alabama","Total, all industries",382,4627,4651,4651,46680349,773
1099,10,2015,4,"Monroe County, Alabama","Total, all industries",393,4663,4723,4733,53992114,882
1101,10,2015,1,"Montgomery County, Alabama","Total, all industries",5811,92517,92936,93526,921535640,762
1101,10,2015,2,"Montgomery County, Alabama","Total, all industries",5849,93928,95065,94899,946099639,769
1101,10,2015,3,"Montgomery County, Alabama","Total, all industries",5876,94602,94497,94427,937802034,763
1101,10,2015,4,"Montgomery County, Alabama","Total, all industries",6006,95324,95764,96260,1101391509,885
1103,10,2015,1,"Morgan County, Alabama","Total, all industries",2528,39452,39259,39381,407257490,796
1103,10,2015,2,"Morgan County, Alabama","Total, all industries",2556,39461,39766,40013,407463252,789
1103,10,2015,3,"Morgan County, Alabama","Total, all industries",2582,39969,39971,39767,417556843,805
1103,10,2015,4,"Morgan County, Alabama","Total, all industries",2614,39914,40011,40243,455997933,876
1105,10,2015,1,"Perry County, Alabama","Total, all industries",119,1512,1531,1553,10756801,540
1105,10,2015,2,"Perry County, Alabama","Total, all industries",123,1588,1577,1553,11235263,550
1105,10,2015,3,"Perry County, Alabama","Total, all industries",125,1547,1576,1587,11501820,564
1105,10,2015,4,"Perry County, Alabama","Total, all industries",127,1610,1589,1563,12100932,586
1107,10,2015,1,"Pickens County, Alabama","Total, all industries",281,2502,2514,2553,19466389,594
1107,10,2015,2,"Pickens County, Alabama","Total, all industries",278,2565,2604,2564,19503100,582
1107,10,2015,3,"Pickens County, Alabama","Total, all industries",277,2537,2580,2574,19971475,599
1107,10,2015,4,"Pickens County, Alabama","Total, all industries",281,2518,2547,2610,22311964,671
1109,10,2015,1,"Pike County, Alabama","Total, all industries",641,10473,10597,10419,95551870,700
1109,10,2015,2,"Pike County, Alabama","Total, all industries",643,10735,10584,10532,97313167,705
1109,10,2015,3,"Pike County, Alabama","Total, all industries",649,10569,10794,10835,98537953,706
1109,10,2015,4,"Pike County, Alabama","Total, all industries",658,10773,10979,10743,110891068,788
1111,10,2015,1,"Randolph County, Alabama","Total, all industries",329,3662,3665,3667,26713718,561
1111,10,2015,2,"Randolph County, Alabama","Total, all industries",329,3646,3669,3672,26555127,558
1111,10,2015,3,"Randolph County, Alabama","Total, all industries",330,3706,3667,3630,28231554,592
1111,10,2015,4,"Randolph County, Alabama","Total, all industries",340,3710,3743,3780,29864822,614
1113,10,2015,1,"Russell County, Alabama","Total, all industries",796,10542,10618,10655,93319137,677
1113,10,2015,2,"Russell County, Alabama","Total, all industries",802,10524,10627,10662,92012642,667
1113,10,2015,3,"Russell County, Alabama","Total, all industries",804,10723,10735,10574,92243328,665
1113,10,2015,4,"Russell County, Alabama","Total, all industries",818,10424,10510,10691,101318657,739
1115,10,2015,1,"St. Clair County, Alabama","Total, all industries",1304,15377,15511,15512,129572716,644
1115,10,2015,2,"St. Clair County, Alabama","Total, all industries",1319,15759,15844,15945,133093907,646
1115,10,2015,3,"St. Clair County, Alabama","Total, all industries",1326,16006,15868,15869,134846618,652
1115,10,2015,4,"St. Clair County, Alabama","Total, all industries",1351,16036,16135,16158,151302413,722
1117,10,2015,1,"Shelby County, Alabama","Total, all industries",5200,72619,73347,73740,967226323,1016
1117,10,2015,2,"Shelby County, Alabama","Total, all industries",5264,74731,75486,75413,894353828,915
1117,10,2015,3,"Shelby County, Alabama","Total, all industries",5336,75647,75475,75625,904305145,920
1117,10,2015,4,"Shelby County, Alabama","Total, all industries",5471,75963,76586,76298,1037084965,1046
1119,10,2015,1,"Sumter County, Alabama","Total, all industries",196,1903,1891,1944,15755667,634
1119,10,2015,2,"Sumter County, Alabama","Total, all industries",196,1893,1863,1843,15165564,625
1119,10,2015,3,"Sumter County, Alabama","Total, all industries",194,1875,1882,1905,16168280,659
1119,10,2015,4,"Sumter County, Alabama","Total, all industries",198,1894,1896,1874,17280883,704
1121,10,2015,1,"Talladega County, Alabama","Total, all industries",1192,24211,24287,24557,254147912,803
1121,10,2015,2,"Talladega County, Alabama","Total, all industries",1195,24657,24764,24807,275768878,857
1121,10,2015,3,"Talladega County, Alabama","Total, all industries",1204,24713,24834,24834,275408732,854
1121,10,2015,4,"Talladega County, Alabama","Total, all industries",1222,24492,24541,24648,321235998,1006
1123,10,2015,1,"Tallapoosa County, Alabama","Total, all industries",724,10990,11065,11141,84037009,584
1123,10,2015,2,"Tallapoosa County, Alabama","Total, all industries",730,11097,11237,11483,84070525,574
1123,10,2015,3,"Tallapoosa County, Alabama","Total, all industries",732,11507,11605,11542,90969969,606
1123,10,2015,4,"Tallapoosa County, Alabama","Total, all industries",746,11561,11481,11605,97478994,649
1125,10,2015,1,"Tuscaloosa County, Alabama","Total, all industries",4157,68332,68645,68975,674214055,755
1125,10,2015,2,"Tuscaloosa County, Alabama","Total, all industries",4191,69593,69475,69469,691956674,766
1125,10,2015,3,"Tuscaloosa County, Alabama","Total, all industries",4248,69670,70108,70614,688857941,756
1125,10,2015,4,"Tuscaloosa County, Alabama","Total, all industries",4298,70851,70399,70366,771412971,841
1127,10,2015,1,"Walker County, Alabama","Total, all industries",1240,15126,15077,15080,132556057,676
1127,10,2015,2,"Walker County, Alabama","Total, all industries",1254,15218,15236,15274,130973532,661
1127,10,2015,3,"Walker County, Alabama","Total, all industries",1262,15297,15153,15125,130180247,659
1127,10,2015,4,"Walker County, Alabama","Total, all industries",1275,15115,15094,15050,143956399,734
1129,10,2015,1,"Washington County, Alabama","Total, all industries",190,2567,2561,2540,44289030,1333
1129,10,2015,2,"Washington County, Alabama","Total, all industries",194,2574,2583,2599,40126656,1194
1129,10,2015,3,"Washington County, Alabama","Total, all industries",195,2587,2614,2597,40996577,1213
1129,10,2015,4,"Washington County, Alabama","Total, all industries",198,2608,2580,2544,44292467,1322
1131,10,2015,1,"Wilcox County, Alabama","Total, all industries",186,1944,1957,1945,21715588,857
1131,10,2015,2,"Wilcox County, Alabama","Total, all industries",187,1940,1951,1930,20214886,801
1131,10,2015,3,"Wilcox County, Alabama","Total, all industries",187,1972,1971,1930,20265538,796
1131,10,2015,4,"Wilcox County, Alabama","Total, all industries",189,2007,1915,2007,23332918,908
1133,10,2015,1,"Winston County, Alabama","Total, all industries",415,6038,6041,6077,46289434,588
1133,10,2015,2,"Winston County, Alabama","Total, all industries",414,6107,6085,6049,47348355,599
1133,10,2015,3,"Winston County, Alabama","Total, all industries",418,6083,6097,6099,48196774,608
1133,10,2015,4,"Winston County, Alabama","Total, all industries",424,6182,6203,6199,53551077,665
1999,10,2015,1,"Unknown Or Undefined, Alabama","Total, all industries",10873,43550,45760,45435,763452792,1308
1999,10,2015,2,"Unknown Or Undefined, Alabama","Total, all industries",11104,46928,46178,47261,745761893,1226
1999,10,2015,3,"Unknown Or Undefined, Alabama","Total, all industries",11306,46812,47133,48242,761582142,1236
1999,10,2015,4,"Unknown Or Undefined, Alabama","Total, all industries",11959,49818,49465,50498,849796207,1309
2013,10,2015,1,"Aleutian East Borough, Alaska","Total, all industries",61,2059,2715,2691,22658841,700
2013,10,2015,2,"Aleutian East Borough, Alaska","Total, all industries",61,2320,916,2460,18187990,737
2013,10,2015,3,"Aleutian East Borough, Alaska","Total, all industries",62,2673,2647,2411,32520321,971
2013,10,2015,4,"Aleutian East Borough, Alaska","Total, all industries",62,1824,1023,837,16976640,1063
2016,10,2015,1,"Aleutian West Census Area, Alaska","Total, all industries",133,3970,4022,3993,47097792,907
2016,10,2015,2,"Aleutian West Census Area, Alaska","Total, all industries",133,3377,2340,3050,37437159,985
2016,10,2015,3,"Aleutian West Census Area, Alaska","Total, all industries",134,3755,3630,3406,56082751,1199
2016,10,2015,4,"Aleutian West Census Area, Alaska","Total, all industries",135,2760,2374,2099,34388164,1097
2020,10,2015,1,"Anchorage Borough, Alaska","Total, all industries",8083,121908,122612,122899,1711694046,1075
2020,10,2015,2,"Anchorage Borough, Alaska","Total, all industries",8175,124361,127841,129865,1695450835,1024
2020,10,2015,3,"Anchorage Borough, Alaska","Total, all industries",8271,131235,130821,128419,1767699764,1045
2020,10,2015,4,"Anchorage Borough, Alaska","Total, all industries",8192,126343,124183,123806,1802851738,1111
2050,10,2015,1,"Bethel Census Area, Alaska","Total, all industries",220,3727,3837,3819,38888422,788
2050,10,2015,2,"Bethel Census Area, Alaska","Total, all industries",216,3776,3860,4418,41228662,789
2050,10,2015,3,"Bethel Census Area, Alaska","Total, all industries",220,4817,4302,4035,46280975,812
2050,10,2015,4,"Bethel Census Area, Alaska","Total, all industries",216,3825,3781,3767,43930585,891
2060,10,2015,1,"Bristol Bay Borough, Alaska","Total, all industries",75,280,288,317,3559941,928
2060,10,2015,2,"Bristol Bay Borough, Alaska","Total, all industries",82,475,1126,1321,12135477,958
2060,10,2015,3,"Bristol Bay Borough, Alaska","Total, all industries",85,3316,906,568,23844553,1149
2060,10,2015,4,"Bristol Bay Borough, Alaska","Total, all industries",87,414,312,304,4538265,1017
2068,10,2015,1,"Denali Borough, Alaska","Total, all industries",106,568,557,564,9958989,1361
2068,10,2015,2,"Denali Borough, Alaska","Total, all industries",110,679,2537,3341,20199198,711
2068,10,2015,3,"Denali Borough, Alaska","Total, all industries",113,3471,3380,2949,33835293,797
